gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
GENE_0254,436,268,381,311,272,371
GENE_0255,16,14,17,15,4,31
GENE_0256,60,85,56,22,66,24
GENE_0257,687,176,381,394,516,420
GENE_0258,27,33,33,27,37,26
GENE_0259,161,169,277,158,145,184
GENE_0260,343,203,357,306,2104,351
GENE_0261,35,65,16,2,5,3
GENE_0262,119,88,99,99,77,83
GENE_0263,4,3,1,4,9,11
GENE_0264,15,27,33,41,24,7
GENE_0265,33,85,14,99,34,50
GENE_0266,2,33,26,37,30,24
GENE_0267,344,315,714,927,697,303
GENE_0268,23,22,8,12,15,10
GENE_0269,43,27,41,532,384,640
GENE_0270,178,112,97,112,53,106
GENE_0271,305,405,376,163,555,660
GENE_0272,8,11,33,12,10,14
GENE_0273,293,250,505,48,69,52
GENE_0274,109,17,130,38,23,136
GENE_0275,40,32,19,4,12,33
GENE_0276,139,43,292,402,84,51
GENE_0277,179,93,111,120,154,188
GENE_0278,69,37,21,38,49,33
GENE_0279,119,62,65,496,659,704
GENE_0280,51,20,13,54,31,66
GENE_0281,120,37,99,89,117,77
GENE_0282,150,131,283,94,190,185
GENE_0283,680,335,1119,3311,1580,3576
GENE_0284,17,20,20,34,33,26
GENE_0285,1020,119,1174,143,220,138
GENE_0286,6,4,2,11,9,10
GENE_0287,54,39,70,57,51,140
GENE_0288,246,209,127,146,174,198
GENE_0289,179,61,79,130,163,72
GENE_0290,48,58,56,33,28,36
GENE_0291,55,45,175,25,145,84
GENE_0292,86,49,117,189,750,190
GENE_0293,6,35,37,12,53,24
GENE_0294,167,281,307,218,577,83
GENE_0295,105,185,109,87,72,176
GENE_0296,19,13,45,0,7,0
GENE_0297,103,299,277,112,189,182
GENE_0298,147,144,142,145,134,303
GENE_0299,298,123,146,467,114,302
GENE_0300,185,190,329,140,143,180
GENE_0301,33,31,34,30,26,50
GENE_0302,41,37,20,81,11,13
GENE_0303,319,193,263,24,22,23
GENE_0304,217,192,283,154,104,204
GENE_0305,75,65,88,315,382,296
GENE_0306,84,47,64,80,55,66
GENE_0307,209,290,399,655,172,469
GENE_0308,42,43,39,151,281,155
GENE_0309,65,165,120,200,120,312
GENE_0310,175,36,19,71,33,71
GENE_0311,29,49,27,69,43,33
GENE_0312,181,303,320,405,350,134
GENE_0313,381,161,199,166,251,564
GENE_0314,138,93,261,287,85,271
GENE_0315,354,306,399,2405,1058,2868
GENE_0316,82,94,106,111,83,67
GENE_0317,249,246,126,194,195,167
GENE_0318,56,48,40,27,85,98
GENE_0319,203,187,112,178,188,116
GENE_0320,93,60,33,51,89,136
GENE_0321,108,81,129,57,117,107
GENE_0322,77,122,236,84,262,151
GENE_0323,26,11,31,14,44,67
GENE_0324,1391,1033,163,478,1448,683
GENE_0325,19,22,41,36,14,25
GENE_0326,13,15,31,33,17,23
GENE_0327,195,494,80,2345,2706,6029
GENE_0328,310,203,608,132,267,420
GENE_0329,361,243,124,201,148,406
GENE_0330,247,177,196,209,79,251
GENE_0331,46,55,47,81,113,77
GENE_0332,6,44,49,160,307,192
GENE_0333,49,99,89,120,202,102
GENE_0334,58,142,81,114,42,72
GENE_0335,72,324,360,443,195,364
GENE_0336,39,80,49,54,110,68
GENE_0337,46,48,58,22,24,73
GENE_0338,75,63,30,44,72,44
GENE_0339,292,132,8,826,930,734
GENE_0340,50,30,41,49,53,90
GENE_0341,22,25,42,70,12,33
GENE_0342,113,144,160,225,55,126
GENE_0343,119,124,184,57,86,72
GENE_0344,12,34,66,5,7,7
GENE_0345,130,61,92,301,77,10
GENE_0346,142,136,214,96,82,102
GENE_0347,18,16,2,25,3,18
GENE_0348,21,11,14,26,15,23
GENE_0349,64,96,23,19,11,19
GENE_0350,48,73,17,48,60,83
GENE_0351,169,167,134,28,5,12
GENE_0352,529,483,539,329,1070,446
GENE_0353,125,238,210,221,240,213
GENE_0354,23,57,6,121,56,53
GENE_0355,65,56,100,882,428,310
GENE_0356,36,21,23,39,22,32
GENE_0357,156,53,119,32,176,45
GENE_0358,54,70,118,152,40,60
GENE_0359,214,165,154,122,182,138
GENE_0360,65,21,37,20,65,30
GENE_0361,142,132,274,1358,693,373
GENE_0362,482,331,434,440,496,525
GENE_0363,22,66,29,121,61,114
GENE_0364,94,172,129,839,627,356
GENE_0365,255,179,125,75,52,145
GENE_0366,32,73,28,69,30,98
GENE_0367,242,65,152,180,73,49
GENE_0368,94,55,50,5,17,10
GENE_0369,71,90,257,91,106,21
GENE_0370,33,31,24,42,14,44
GENE_0371,38,73,78,118,143,52
GENE_0372,196,143,74,80,88,273
GENE_0373,543,729,518,503,589,754
GENE_0374,251,99,626,234,275,68
GENE_0375,855,1547,741,1036,1449,1174
GENE_0376,25,38,34,22,43,27
GENE_0377,243,275,263,823,1012,573
GENE_0378,68,48,158,213,298,527
GENE_0379,1607,986,491,2673,569,1677
GENE_0380,30,38,32,12,25,33
GENE_0381,27,33,25,56,49,67
GENE_0382,34,54,22,61,86,15
GENE_0383,10,6,4,1,0,0
GENE_0384,94,57,23,157,544,276
GENE_0385,70,17,40,8,9,25
GENE_0386,102,3,53,89,82,156
GENE_0387,79,281,213,14,49,19
GENE_0388,712,379,313,375,1687,897
GENE_0389,303,293,477,227,596,590
GENE_0390,55,47,60,330,313,273
GENE_0391,11,34,55,16,13,40
GENE_0392,193,119,184,204,167,196
GENE_0393,29,14,30,3,2,3
GENE_0394,873,745,1226,697,303,726
GENE_0395,242,410,147,292,688,378
GENE_0396,83,84,42,230,299,118
GENE_0397,2,10,7,2,4,1
GENE_0398,625,278,304,631,495,542
GENE_0399,36,72,102,72,33,59
GENE_0400,269,353,307,197,208,467
GENE_0401,14,9,8,29,2,9
GENE_0402,22,80,38,20,47,41
GENE_0403,71,63,114,43,49,45
GENE_0404,17,129,22,45,68,115
GENE_0405,27,79,36,36,124,84
GENE_0406,113,218,158,200,236,251
GENE_0407,44,19,6,15,37,16
GENE_0408,55,63,14,127,28,62
GENE_0409,41,109,61,108,84,89
GENE_0410,127,126,131,178,131,154
GENE_0411,278,291,150,187,241,316
GENE_0412,21,23,20,18,6,30
GENE_0413,21,18,19,17,27,5
GENE_0414,207,216,732,254,293,195
GENE_0415,157,165,150,198,162,132
GENE_0416,53,37,28,10,0,3
GENE_0417,402,202,343,544,112,586
GENE_0418,52,147,120,94,163,117
GENE_0419,137,538,175,560,84,451
GENE_0420,67,207,37,73,49,160
GENE_0421,516,662,695,719,1121,1327
GENE_0422,1959,979,700,83,71,22
GENE_0423,39,69,16,35,216,16
GENE_0424,202,218,287,331,355,239
GENE_0425,132,157,176,183,182,302
GENE_0426,219,308,426,473,419,283
GENE_0427,42,8,2,20,13,38
GENE_0428,111,107,274,115,91,189
GENE_0429,198,280,243,107,403,368
GENE_0430,8,14,15,11,13,11
GENE_0431,4,1,13,15,31,46
GENE_0432,8,11,4,7,3,1
GENE_0433,36,49,159,254,124,586
GENE_0434,105,154,295,808,815,1307
GENE_0435,597,188,424,744,185,337
GENE_0436,70,119,143,200,53,45
GENE_0437,787,734,496,792,410,972
GENE_0438,19,19,33,17,9,32
GENE_0439,6,7,15,7,9,10
GENE_0440,75,90,64,71,48,57
GENE_0441,105,120,180,88,237,321
GENE_0442,151,37,110,66,48,121
GENE_0443,3,7,12,7,9,5
GENE_0444,48,168,161,61,49,119
GENE_0445,34,21,6,15,15,13
GENE_0446,250,261,455,568,304,121
GENE_0447,55,102,317,64,44,46
GENE_0448,27,21,24,33,17,45
GENE_0449,52,45,106,839,463,404
GENE_0450,8,33,25,17,9,21
GENE_0451,171,109,127,83,197,140
GENE_0452,281,312,315,1240,1628,658
GENE_0453,31,14,34,10,14,30
GENE_0454,259,173,229,147,101,169
GENE_0455,53,25,58,35,46,17
GENE_0456,32,27,24,51,52,65
GENE_0457,80,57,40,64,93,84
GENE_0458,52,6,46,4,12,5
GENE_0459,50,42,25,10,6,6
GENE_0460,10,17,20,12,19,13
GENE_0461,1073,878,439,958,1435,645
GENE_0462,48,73,51,94,112,89
GENE_0463,14,40,22,57,11,55
GENE_0464,68,154,42,2206,3537,1825
GENE_0465,61,168,115,52,17,61
GENE_0466,122,50,45,30,45,70
GENE_0467,174,143,227,34,43,27
GENE_0468,65,493,170,229,96,123
GENE_0469,59,34,61,44,45,65
GENE_0470,69,43,70,22,81,44
GENE_0471,55,35,50,24,56,50
GENE_0472,5,2,7,10,3,7
GENE_0473,8,7,19,1,0,1
GENE_0474,734,352,410,129,494,426
GENE_0475,824,702,883,571,572,405
GENE_0476,55,78,87,108,46,43
GENE_0477,247,156,78,56,65,110
GENE_0478,189,167,93,77,108,185
GENE_0479,3724,1255,9443,4886,2522,4534
GENE_0480,217,647,407,221,204,153
GENE_0481,116,34,102,36,74,26
GENE_0482,51,23,28,29,6,18
GENE_0483,29,3,9,25,15,7
GENE_0484,87,72,102,109,116,79
GENE_0485,21,24,14,24,20,44
GENE_0486,16,27,7,21,28,14
GENE_0487,38,40,38,56,37,31
GENE_0488,18,49,18,61,7,12
GENE_0489,411,989,927,370,430,735
GENE_0490,250,382,151,10,32,100
GENE_0491,134,78,104,10,23,24
GENE_0492,154,164,395,657,465,163
GENE_0493,95,97,87,141,91,85
GENE_0494,64,63,53,36,49,67
GENE_0495,617,991,1120,90,793,159
GENE_0496,107,293,192,114,174,232
GENE_0497,33,24,32,5,2,1
GENE_0498,20,121,130,99,113,46
GENE_0499,24,13,6,20,25,55
GENE_0500,4,6,26,1,4,3
